Title,Rating,Image_URL,Local_Image_Path,Listing_URL,City,Price_Clean,Image_Exists
Apartment in Rawalpindi,5.0,https://a0.muscache.com/im/pictures/miso/Hosting-1420278332550702526/original/a91b871a-1ac0-498b-a1b7-9b2d5b906b79.jpeg,output\images\islamabad\1420278332550702526_8c59e13b_p1.jpeg,https://www.airbnb.com/rooms/1420278332550702526?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3GhPkcG6ZgPLYPG&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$1084.00,True
Home in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM5MzIyNDUyMjc5MDc3MzkyMQ==/original/1d329047-dc04-4268-bd0b-d9af09de5b84.jpeg,output\images\islamabad\1393224522790773921_cab10807_p2.jpeg,https://www.airbnb.com/rooms/1393224522790773921?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3teBeruwhU30f4h&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$891.00,True
Apartment in Islamabad,4.6,https://a0.muscache.com/im/pictures/hosting/Hosting-1388606593641393973/original/44979671-2b83-4c1e-85fe-751455dbfb51.jpeg,output\images\islamabad\1388606593641393973_641d0d45_p2.jpeg,https://www.airbnb.com/rooms/1388606593641393973?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3dUtY_-3dSrwotJ&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$641.00,True
Room in Islamabad,5.0,https://a0.muscache.com/im/pictures/user/User/original/31dbac69-59b1-4dd8-a50a-6abbdf97b88c.jpeg?aki_policy=profile_small,output\images\islamabad\1428443344621907903_0d452010_p2.jpeg,https://www.airbnb.com/rooms/1428443344621907903?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2190673321&source_impression_id=p3_1754985590_P3cKCyJNTA_QXNId&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$571.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1476438103280083356/original/02236810-158a-45c9-b995-101ec80edf10.jpeg,output\images\islamabad\1476438103280083356_255bb6f1_p2.jpeg,https://www.airbnb.com/rooms/1476438103280083356?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3z7qrXeOVX6kY4y&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$668.00,True
Condo in Islamabad,4.99,https://a0.muscache.com/im/pictures/miso/Hosting-53779055/original/98d0cbd5-3a47-4a82-a27d-2c2623c18d69.jpeg,output\images\islamabad\53779055_c4d0d07c_p2.jpeg,https://www.airbnb.com/rooms/53779055?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P33HInSE2kBZBguD&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$1240.00,True
Condo in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1436231014833230954/original/fba703b6-2c95-424e-8088-3fe2ca3db413.jpeg,output\images\islamabad\1436231014833230954_aaef17be_p2.jpeg,https://www.airbnb.com/rooms/1436231014833230954?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3PjuEkh2DXWq4H6&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$895.00,True
Condo in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1463712890523429978/original/8d82532c-0670-4e81-a0e2-1b82414904b8.jpeg,output\images\islamabad\1463712890523429978_36368f85_p2.jpeg,https://www.airbnb.com/rooms/1463712890523429978?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P31-9jtXs0VOrGtl&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$1781.00,True
Apartment in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1483479128720837234/original/a4a01839-4c90-4f7e-a508-790339624374.jpeg,output\images\islamabad\1483479128720837234_7284ad90_p2.jpeg,https://www.airbnb.com/rooms/1483479128720837234?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3y8E4_ZKrt0-yDT&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$605.00,True
Room in Islamabad,4.87,https://a0.muscache.com/im/pictures/user/ceb2122e-30c9-4543-9084-11eb0a7ce02e.jpg?aki_policy=profile_small,output\images\islamabad\578788289772984553_85ef2a3e_p2.jpg,https://www.airbnb.com/rooms/578788289772984553?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1420338695&source_impression_id=p3_1754985590_P38FQfk2Q0_APXHC&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$872.00,True
Apartment in Islamabad,4.94,https://a0.muscache.com/im/pictures/hosting/Hosting-1435677764065513676/original/d242c2a6-40ff-40bf-b34e-9412a284ce13.jpeg,output\images\islamabad\1435677764065513676_a53ffbf3_p2.jpeg,https://www.airbnb.com/rooms/1435677764065513676?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3-zO4ks83ZGfF30&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$700.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1404307910048275849/original/c35802f1-c213-48a7-971d-21472cb3a421.jpeg,output\images\islamabad\1404307910048275849_97ae9279_p2.jpeg,https://www.airbnb.com/rooms/1404307910048275849?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3EnYQa39tSLuyGZ&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$717.00,True
Room in Islamabad,5.0,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,output\images\islamabad\1402343034814274217_06eada43_p2.png,https://www.airbnb.com/rooms/1402343034814274217?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2177485386&source_impression_id=p3_1754985590_P3zMgnpORDTDr9PM&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$540.00,True
Apartment in Islamabad,4.91,https://a0.muscache.com/im/pictures/hosting/Hosting-1379012627810841650/original/5c830313-3610-4017-9342-1c18a8b56a40.jpeg,output\images\islamabad\1379012627810841650_d715f433_p2.jpeg,https://www.airbnb.com/rooms/1379012627810841650?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3xFGx8_aUMGjIef&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$1235.00,True
