Title,Price,Rating,Reviews,Image_URL,Listing_URL,City,Page,Scraped_At
Home in Islamabad,"$891 $720 Show price breakdown $720 monthly, originally $891 monthly",5,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM5MzIyNDUyMjc5MDc3MzkyMQ==/original/1d329047-dc04-4268-bd0b-d9af09de5b84.jpeg?im_w=720,https://www.airbnb.com/rooms/1393224522790773921?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3Kxqu_8KMNPI8na&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.607298
Apartment in Rawalpindi,"$1,084 $929 Show price breakdown $929 monthly, originally $1,084 monthly",5,,https://a0.muscache.com/im/pictures/miso/Hosting-1420278332550702526/original/a91b871a-1ac0-498b-a1b7-9b2d5b906b79.jpeg?im_w=720,https://www.airbnb.com/rooms/1420278332550702526?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3FLaVp9L0Y3E2-N&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.612793
Home in Islamabad,"$891 $720 Show price breakdown $720 monthly, originally $891 monthly",5,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM5MzIyNDUyMjc5MDc3MzkyMQ==/original/1d329047-dc04-4268-bd0b-d9af09de5b84.jpeg?im_w=720,https://www.airbnb.com/rooms/1393224522790773921?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3ofLehBSBAhVFEW&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.527223
Apartment in Islamabad,"$641 $580 Show price breakdown $580 monthly, originally $641 monthly",4.6,,https://a0.muscache.com/im/pictures/hosting/Hosting-1388606593641393973/original/44979671-2b83-4c1e-85fe-751455dbfb51.jpeg?im_w=720,https://www.airbnb.com/rooms/1388606593641393973?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3_n9ly9GWABbJsZ&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.534608
Room in Islamabad,"$571 $434 Show price breakdown $434 monthly, originally $571 monthly",5,,https://a0.muscache.com/im/pictures/user/User/original/31dbac69-59b1-4dd8-a50a-6abbdf97b88c.jpeg?im_w=720,https://www.airbnb.com/rooms/1428443344621907903?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2190673321&source_impression_id=p3_1754981096_P3FKm-EufapAD_01&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.543435
Apartment in Islamabad,"$668 $540 Show price breakdown $540 monthly, originally $668 monthly",5,,https://a0.muscache.com/im/pictures/hosting/Hosting-1476438103280083356/original/02236810-158a-45c9-b995-101ec80edf10.jpeg?im_w=720,https://www.airbnb.com/rooms/1476438103280083356?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3CmvbIxn7tR1vHG&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.548730
Condo in Islamabad,"$1,240 $858 Show price breakdown $858 monthly, originally $1,240 monthly",4.99,,https://a0.muscache.com/im/pictures/miso/Hosting-53779055/original/98d0cbd5-3a47-4a82-a27d-2c2623c18d69.jpeg?im_w=720,https://www.airbnb.com/rooms/53779055?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3rnUD77CWe_ng94&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.553878
Condo in Islamabad,"$895 $792 Show price breakdown $792 monthly, originally $895 monthly",5,,https://a0.muscache.com/im/pictures/hosting/Hosting-1436231014833230954/original/fba703b6-2c95-424e-8088-3fe2ca3db413.jpeg?im_w=720,https://www.airbnb.com/rooms/1436231014833230954?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3MOSt2DNXkkVVzX&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.559278
Condo in Islamabad,"$1,781 $1,440 Show price breakdown $1,440 monthly, originally $1,781 monthly",,,https://a0.muscache.com/im/pictures/hosting/Hosting-1463712890523429978/original/8d82532c-0670-4e81-a0e2-1b82414904b8.jpeg?im_w=720,https://www.airbnb.com/rooms/1463712890523429978?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3h0eyji4O1kBBcw&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.564155
Apartment in Islamabad,"$700 $630 Show price breakdown $630 monthly, originally $700 monthly",4.94,,https://a0.muscache.com/im/pictures/hosting/Hosting-1435677764065513676/original/d242c2a6-40ff-40bf-b34e-9412a284ce13.jpeg?im_w=720,https://www.airbnb.com/rooms/1435677764065513676?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P33W46dDXdmJWma2&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.569228
